VERSION, FILE_NAME, LOC, LOC_TOUCHED, NUMBER_OF_REVISIONS, LOC_ADDED, AVG_LOC_ADDED, NUMBER_OF_AUTHORS, MAX_LOC_ADDED, TOTAL_LOC_REMOVED, MAX_LOC_REMOVED, AVG_LOC_TOUCHED, BUGGY
1,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslContextFactory.java,3068,92,2,79,39.5,2,65,13,13,46,NO
1,hedwig-client/src/main/java/org/apache/hedwig/conf/AbstractConfiguration.java,1555,56,3,55,18.333333333333332,3,45,1,1,18,NO
1,hedwig-client/src/main/java/org/apache/hedwig/util/Callback.java,546,55,2,51,25.5,2,47,4,4,27,NO
1,hedwig-client/src/main/java/org/apache/hedwig/util/CallbackUtils.java,8463,223,4,203,50.75,3,185,20,16,55,NO
1,hedwig-client/src/main/java/org/apache/hedwig/util/ConcurrencyUtils.java,2366,49,1,49,49.0,1,49,0,0,49,NO
1,hedwig-client/src/main/java/org/apache/hedwig/util/Either.java,2184,50,1,50,50.0,1,50,0,0,50,NO
1,hedwig-client/src/main/java/org/apache/hedwig/util/FileUtils.java,5496,102,2,100,50.0,2,97,2,2,51,NO
1,hedwig-client/src/main/java/org/apache/hedwig/util/HedwigSocketAddress.java,6552,138,1,138,138.0,1,138,0,0,138,NO
1,hedwig-client/src/main/java/org/apache/hedwig/util/Option.java,1638,43,1,43,43.0,1,43,0,0,43,NO
1,hedwig-client/src/main/java/org/apache/hedwig/util/Pair.java,1638,42,1,42,42.0,1,42,0,0,42,NO
1,hedwig-client/src/main/java/org/apache/hedwig/util/PathUtils.java,2639,56,1,56,56.0,1,56,0,0,56,NO
1,hedwig-client/src/test/java/org/apache/hedwig/client/AppTest.java,1365,53,2,52,26.0,2,51,1,1,26,NO
1,hedwig-client/src/test/java/org/apache/hedwig/util/TestFileUtils.java,1638,41,1,41,41.0,1,41,0,0,41,NO
1,hedwig-client/src/test/java/org/apache/hedwig/util/TestHedwigSocketAddress.java,6552,118,2,111,55.5,2,104,7,7,59,NO
1,hedwig-client/src/test/java/org/apache/hedwig/util/TestPathUtils.java,2639,54,1,54,54.0,1,54,0,0,54,NO
1,hedwig-protocol/src/main/java/org/apache/hedwig/exceptions/PubSubException.java,10374,164,2,163,81.5,2,162,1,1,82,NO
1,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,403139,18077,2,12222,6111.0,2,6127,5855,5855,9038,NO
1,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/MessageIdUtils.java,8190,157,2,155,77.5,2,153,2,2,78,NO
1,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/PubSubResponseUtils.java,1547,43,1,43,43.0,1,43,0,0,43,NO
1,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/SubscriptionStateUtils.java,1274,43,2,42,21.0,2,41,1,1,21,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/AbstractBenchmark.java,5496,205,3,155,51.666666666666664,2,104,50,48,68,NO
