"PROJ","CLASSIFIER","ITERATION","FEATURE_SELECTION","SAMPLING","COST_SENSITIVE","PRECISION","RECALL","AUC","KAPPA","NPOFB","TP","FP","TN","FN","%_OF_TRAINING"
"SYNCOPE","RandomForest","5","BEST FIRST","UNDERSAMPLING","NO","0,26172","0,37222","0,61692","0,08504","0,30556","67.0","189.0","501.0","113.0","81,66491"
"SYNCOPE","NaiveBayes","5","BEST FIRST","UNDERSAMPLING","NO","0,57143","0,11111","0,42717","0,12726","0,31285","20.0","15.0","675.0","160.0","81,66491"
"SYNCOPE","IBk","5","BEST FIRST","UNDERSAMPLING","NO","0,22353","0,52778","0,53883","0,03294","0,25698","95.0","330.0","360.0","85.0","81,66491"
"SYNCOPE","RandomForest","5","BEST FIRST","OVERSAMPLING","NO","0,23457","0,10556","0,56475","0,01971","0,19553","19.0","62.0","628.0","161.0","81,66491"
"SYNCOPE","NaiveBayes","5","BEST FIRST","OVERSAMPLING","NO","0,5098","0,14444","0,4654","0,1472","0,3","26.0","25.0","665.0","154.0","81,66491"
"SYNCOPE","IBk","5","BEST FIRST","OVERSAMPLING","NO","0,20513","0,08889","0,63979","-0,00122","0,28889","16.0","62.0","628.0","164.0","81,66491"
"SYNCOPE","RandomForest","5","BEST FIRST","NO","SENSITIVE_LEARNING","0,40909","0,1","0,57263","0,08646","0,2067","18.0","26.0","664.0","162.0","81,66491"
"SYNCOPE","NaiveBayes","5","BEST FIRST","NO","SENSITIVE_LEARNING","0,59375","0,10556","0,47585","0,12457","0,20556","19.0","13.0","677.0","161.0","81,66491"
"SYNCOPE","IBk","5","BEST FIRST","NO","SENSITIVE_LEARNING","0,21053","0,04444","0,65521","0,00136","0,27222","8.0","30.0","660.0","172.0","81,66491"
"SYNCOPE","RandomForest","6","NO","NO","NO","0,31111","0,11864","0,62962","0,08975","0,21186","14.0","31.0","574.0","104.0","86,77762"
"SYNCOPE","NaiveBayes","6","NO","NO","NO","0,42466","0,26271","0,60628","0,22834","0,35043","31.0","42.0","563.0","87.0","86,77762"
"SYNCOPE","IBk","6","NO","NO","NO","0,3375","0,22881","0,63156","0,16224","0,21186","27.0","53.0","552.0","91.0","86,77762"
"SYNCOPE","RandomForest","6","BEST FIRST","NO","NO","0,425","0,14407","0,67047","0,14449","0,23729","17.0","23.0","582.0","101.0","86,77762"
"SYNCOPE","NaiveBayes","6","BEST FIRST","NO","NO","0,62963","0,14407","0,5623","0,18494","0,20513","17.0","10.0","595.0","101.0","86,77762"
"SYNCOPE","IBk","6","BEST FIRST","NO","NO","0,30435","0,17797","0,66216","0,11842","0,19492","21.0","48.0","557.0","97.0","86,77762"
"SYNCOPE","RandomForest","6","BEST FIRST","UNDERSAMPLING","NO","0,24615","0,67797","0,69659","0,16002","0,30508","80.0","245.0","360.0","38.0","86,77762"
"SYNCOPE","NaiveBayes","6","BEST FIRST","UNDERSAMPLING","NO","0,45312","0,24576","0,63573","0,23034","0,22881","29.0","35.0","570.0","89.0","86,77762"
"SYNCOPE","IBk","6","BEST FIRST","UNDERSAMPLING","NO","0,24194","0,63559","0,6402","0,14935","0,31624","75.0","235.0","370.0","43.0","86,77762"
"SYNCOPE","RandomForest","6","BEST FIRST","OVERSAMPLING","NO","0,26724","0,26271","0,6714","0,12306","0,33898","31.0","85.0","520.0","87.0","86,77762"
"SYNCOPE","NaiveBayes","6","BEST FIRST","OVERSAMPLING","NO","0,38961","0,25424","0,56032","0,20526","0,34188","30.0","47.0","558.0","88.0","86,77762"
"SYNCOPE","IBk","6","BEST FIRST","OVERSAMPLING","NO","0,26984","0,28814","0,66911","0,13246","0,28205","34.0","92.0","513.0","84.0","86,77762"
"SYNCOPE","RandomForest","6","BEST FIRST","NO","SENSITIVE_LEARNING","0,31183","0,24576","0,67744","0,15303","0,33051","29.0","64.0","541.0","89.0","86,77762"
