@RELATION file_train_step_4

@ATTRIBUTE LOC REAL
@ATTRIBUTE LOC_TOUCHED REAL
@ATTRIBUTE NUMBER_OF_REVISIONS REAL
@ATTRIBUTE LOC_ADDED REAL
@ATTRIBUTE AVG_LOC_ADDED REAL
@ATTRIBUTE NUMBER_OF_AUTHORS REAL
@ATTRIBUTE MAX_LOC_ADDED REAL
@ATTRIBUTE TOTAL_LOC_REMOVED REAL
@ATTRIBUTE MAX_LOC_REMOVED REAL
@ATTRIBUTE AVG_LOC_TOUCHED REAL
@ATTRIBUTE BUGGY {NO, YES}

@DATA
80,80,1,80,80.0,1,80,0,0,80,NO
100,100,1,100,100.0,1,100,0,0,100,NO
36,36,1,36,36.0,1,36,0,0,36,NO
82,82,1,82,82.0,1,82,0,0,82,NO
108,108,1,108,108.0,1,108,0,0,108,NO
41,41,1,41,41.0,1,41,0,0,41,NO
47,47,1,47,47.0,1,47,0,0,47,NO
122,122,1,122,122.0,1,122,0,0,122,NO
11,11,1,11,11.0,1,11,0,0,11,NO
160,160,1,160,160.0,1,160,0,0,160,NO
14,14,1,14,14.0,1,14,0,0,14,NO
353,353,1,353,353.0,1,353,0,0,353,NO
361,361,1,361,361.0,1,361,0,0,361,NO
106,106,1,106,106.0,1,106,0,0,106,NO
103,103,1,103,103.0,1,103,0,0,103,NO
83,83,1,83,83.0,1,83,0,0,83,NO
376,376,1,376,376.0,1,376,0,0,376,NO
150,150,1,150,150.0,1,150,0,0,150,NO
22,22,1,22,22.0,1,22,0,0,22,NO
10,10,1,10,10.0,1,10,0,0,10,NO
41,41,1,41,41.0,1,41,0,0,41,NO
14,14,1,14,14.0,1,14,0,0,14,NO
39,39,1,39,39.0,1,39,0,0,39,NO
171,171,1,171,171.0,1,171,0,0,171,NO
117,117,1,117,117.0,1,117,0,0,117,NO
192,192,1,192,192.0,1,192,0,0,192,NO
202,202,1,202,202.0,1,202,0,0,202,NO
521,521,1,521,521.0,1,521,0,0,521,NO
203,203,1,203,203.0,1,203,0,0,203,NO
31,31,1,31,31.0,1,31,0,0,31,NO
142,142,1,142,142.0,1,142,0,0,142,NO
81,81,1,81,81.0,1,81,0,0,81,NO
39,39,1,39,39.0,1,39,0,0,39,NO
74,74,1,74,74.0,1,74,0,0,74,NO
32,32,1,32,32.0,1,32,0,0,32,NO
137,192,3,180,60.0,1,137,12,8,64,NO
218,253,2,240,120.0,1,218,13,13,126,NO
343,516,5,441,88.2,3,343,75,49,103,NO
87,0,0,0,0.0,0,0,0,0,0,NO
182,441,2,277,138.5,2,266,164,155,220,YES
