@relation file_train_step_26

@attribute LOC numeric
@attribute LOC_TOUCHED numeric
@attribute NUMBER_OF_REVISIONS numeric
@attribute LOC_ADDED numeric
@attribute AVG_LOC_ADDED numeric
@attribute NUMBER_OF_AUTHORS numeric
@attribute MAX_LOC_ADDED numeric
@attribute TOTAL_LOC_REMOVED numeric
@attribute MAX_LOC_REMOVED numeric
@attribute AVG_LOC_TOUCHED numeric
@attribute BUGGY {YES,NO}

@data
4,4,1,4,4,1,4,0,0,4,NO
32,40,3,35,11.666667,1,32,5,4,13,NO
251,312,4,266,66.5,1,251,46,32,78,NO
235,242,2,237,118.5,1,235,5,5,121,NO
251,312,4,266,66.5,1,251,46,34,78,NO
112,113,3,113,37.666667,1,112,0,0,37,NO
159,160,2,160,80,1,159,0,0,80,NO
12,12,1,12,12,1,12,0,0,12,NO
48,48,1,48,48,1,48,0,0,48,NO
4,4,2,4,2,1,4,0,0,2,NO
77,108,6,89,14.833333,1,77,19,11,18,NO
10,14,2,13,6.5,1,10,1,1,7,NO
42,45,2,42,21,1,42,3,3,22,NO
10,10,1,10,10,1,10,0,0,10,NO
29,29,1,29,29,1,29,0,0,29,NO
114,20,4,16,4,1,9,4,3,5,NO
65,357,19,253,13.315789,1,65,104,32,18,NO
75,75,2,75,37.5,1,75,0,0,37,NO
45,47,2,46,23,1,45,1,1,23,NO
56,56,1,56,56,1,56,0,0,56,NO
560,1111,12,820,68.333333,1,560,291,122,92,NO
117,117,1,117,117,1,117,0,0,117,NO
214,420,9,330,36.666667,1,214,90,40,46,NO
24,24,1,24,24,1,24,0,0,24,NO
53,61,3,59,19.666667,1,53,2,1,20,NO
86,190,2,175,87.5,1,89,15,15,95,NO
25,30,2,29,14.5,1,25,1,1,15,NO
30,35,2,34,17,1,30,1,1,17,NO
8,32,3,30,10,1,20,2,2,10,NO
50,87,3,68,22.666667,1,50,19,13,29,NO
40,40,1,40,40,1,40,0,0,40,NO
104,158,2,139,69.5,1,104,19,19,79,NO
19,29,2,24,12,1,19,5,5,14,NO
100,100,1,100,100,1,100,0,0,100,NO
160,1215,15,856,57.066667,1,275,359,113,81,NO
234,114,8,65,8.125,1,26,49,19,14,NO
18,11,1,11,11,1,11,0,0,11,NO
49,52,2,51,25.5,1,49,1,1,26,NO
39,124,7,102,14.571429,1,39,22,10,17,NO
17,20,2,19,9.5,1,17,1,1,10,NO
100,389,10,252,25.2,1,100,137,70,38,NO
46,458,19,298,15.684211,1,46,160,49,24,NO
7,17,5,14,2.8,1,7,3,1,3,NO
22,76,9,57,6.333333,1,22,19,5,8,NO
289,1036,10,605,60.5,1,289,431,213,103,NO
144,367,14,238,17,1,144,129,36,26,NO
77,21,3,11,3.666667,1,6,10,10,7,NO
177,49,5,31,6.2,1,13,18,8,9,NO
40,9,1,9,9,1,9,0,0,9,NO
41,1,1,1,1,1,1,0,0,1,NO
